image_path,condition,item_type
data/fresh/FreshApple/fresh_FreshApple_001.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_002.png,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_003.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_004.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_005.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_006.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_007.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_008.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_009.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_010.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_011.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_012.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_013.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_014.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_015.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_016.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_017.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_018.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_019.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_020.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_021.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_022.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_023.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_024.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_025.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_026.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_027.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_028.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_029.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_030.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_031.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_032.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_033.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_034.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_035.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_036.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_037.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_038.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_039.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_040.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_041.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_042.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_043.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_044.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_045.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_046.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_047.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_048.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_049.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_050.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_051.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_052.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_053.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_054.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_055.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_056.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_057.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_058.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_059.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_060.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_061.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_062.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_063.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_064.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_065.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_066.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_067.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_068.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_069.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_070.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_071.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_072.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_073.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_074.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_075.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_076.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_077.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_078.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_079.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_080.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_081.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_082.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_083.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_084.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_085.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_086.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_087.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_088.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_089.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_090.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_091.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_092.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_093.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_094.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_095.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_096.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_097.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_098.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_099.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_100.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_101.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_102.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_103.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_104.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_105.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_106.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_107.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_108.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_109.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_110.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_111.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_112.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_113.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_114.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_115.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_116.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_117.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_118.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_119.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_120.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_121.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_122.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_123.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_124.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_125.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_126.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_127.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_128.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_129.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_130.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_131.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_132.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_133.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_134.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_135.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_136.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_137.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_138.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_139.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_140.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_141.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_142.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_143.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_144.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_145.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_146.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_147.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_148.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_149.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_150.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_151.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_152.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_153.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_154.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_155.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_156.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_157.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_158.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_159.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_160.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_161.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_162.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_163.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_164.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_165.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_166.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_167.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_168.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_169.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_170.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_171.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_172.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_173.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_174.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_175.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_176.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_177.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_178.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_179.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_180.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_181.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_182.jpg,fresh,FreshApple
data/fresh/FreshApple/fresh_FreshApple_183.jpg,fresh,FreshApple
